"Lote","Item","Posição","Razão Social","Documento","Lance","Marca","Modelo","ME","Classificado","Habilitado"
"1","1","1","OLLA MAGNETICA LTDA","14733837000154","19600,0000","PIGEONS","LH120","SIM","SIM","SIM"
"1","1","2","ZANON CONSTRUÇÕES LTDA","28801237000190","19750,0000","bird","control","SIM","SIM","SIM"
"1","1","3","TAFF SERVIÇOS ESPECIALIZADOS EIRELI","29558192000138","41908,3500","pigeons out","LH-120","SIM","SIM","SIM"
"1","1","4","MICHEL BURANI PEREIRA JUNIOR","39478217000147","17517,4400","N/A","N/A","SIM","NÃO","SIM"
"1","1","5","RB ENGENHARIA INDUSTRIAL LTDA","34057052000116","17517,4500","Própria","Próprio","SIM","NÃO","SIM"
